[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
2138: 646400, 404, 260.155, 
2141: 647200, 404, 259.685, 
2143: 648000, 405, 240.718, 
2146: 648800, 405, 224.829, 
2149: 649600, 406, 214.525, 
2152: 650400, 406, 227.185, 
2156: 651200, 407, 223.312, 
2158: 652000, 407, 225.229, 
2161: 652800, 408, 233.896, 
2165: 653600, 408, 231.357, 
2168: 654400, 409, 196.370, 
2172: 655200, 409, 166.874, 
2174: 656000, 410, 181.608, 
2178: 656800, 410, 208.890, 
2181: 657600, 411, 224.534, 
2184: 658400, 411, 231.525, 
2187: 659200, 412, 247.327, 
2190: 660000, 412, 236.618, 
2192: 660800, 413, 234.653, 
2195: 661600, 413, 247.641, 
2198: 662400, 414, 231.469, 
2200: 663200, 414, 229.699, 
2204: 664000, 415, 237.952, 
2207: 664800, 415, 244.679, 
